i_on_A_m,i_off_nA_um,v_dd_V,c_gs,t_crit_s,clk_freq_GHz,p_leak_total_W,energy_cycle_par_total_pJ,energy_cycle_wire_total_pJ,energy_cycle_load_total_pJ,energy_dyn_cycle_total_pJ,energy_leak_total_pJ,energy_cycle_total_pJ,edp_Js,edp_pJns
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
409.0,0.012645,1.8,1.1864,6.70149884147849e-09,0.14922034960456387,1.8713892001392003e-07,2.2189284428529255,3.763205676462857,2.190077380328528,8.17221149964431,0.0012541112556688208,8.173465610899978,5.477447032231048e-20,54.774470322310485
761.0,465.5,1.8,1.1864,3.6387130972693204e-09,0.2748224367429386,0.006889139364688001,2.2189284428529255,3.763205676462857,2.190077380328528,8.17221149964431,25.067601635203875,33.239813134848184,1.2095014340455689e-19,120.95014340455688
409.0,0.0126,4.0,1.1864,1.47944847836423e-08,0.0675927559914531,4.14384322688e-07,10.957671322730496,18.58373173561905,10.815196939893966,40.35659999824351,0.006130602556587537,40.3627306008001,5.971458036997905e-19,597.1458036997905
409.0,0.0126,3.0,1.1864,1.1115854809931476e-08,0.08996159243700705,3.1078824201600005e-07,6.163690119035903,10.453349101285715,6.0835482786903565,22.700587499011974,0.003454676974883702,22.704042175986856,2.523748364268306e-19,252.3748364268306
409.0,0.0126,1.0,1.1864,3.75859486250983e-09,0.26605687406602857,1.03596080672e-07,0.684854457670656,1.1614832334761906,0.6759498087433728,2.5222874998902194,0.00038937569658993316,2.52267687558681,9.481720344352933e-21,9.481720344352933
74.7,0.004,1.0,1.1864,2.0221325789036314e-08,0.04945274164675119,3.2887644657777784e-08,0.684854457670656,1.1614832334761906,0.6759498087433728,2.5222874998902194,0.0006650317770589843,2.5229525316672787,5.1017445093118e-20,51.017445093118006
409.0,0.01,3.0,1.1864,1.1115854809931476e-08,0.08996159243700705,2.466573349333334e-07,6.163690119035903,10.453349101285715,6.0835482786903565,22.700587499011974,0.0027418071229235734,22.703329306134897,2.5236691226905785e-19,252.36691226905785
409.0,0.01,1.0,1.1864,3.75859486250983e-09,0.26605687406602857,8.221911164444446e-08,0.684854457670656,1.1614832334761906,0.6759498087433728,2.5222874998902194,0.0003090283306269311,2.5225965282208462,9.481418351156008e-21,9.481418351156007
413.0,0.01299,1.8,1.1864,6.6373677620336506e-09,0.15066213533022704,1.9224472684703999e-07,2.2189284428529255,3.763205676462857,2.190077380328528,8.17221149964431,0.0012759989523955081,8.173487498596705,5.425044242657083e-20,54.25044242657083
413.0,0.01299,1.8,1.1864,6.6373677620336506e-09,0.15066213533022704,1.9224472684703999e-07,2.2189284428529255,3.763205676462857,2.190077380328528,8.17221149964431,0.0012759989523955081,8.173487498596705,5.425044242657083e-20,54.25044242657083
549.0,1.346,1.8,1.1864,5.012947378135816e-09,0.19948344248765562,1.9920046369216005e-05,2.2189284428529255,3.763205676462857,2.190077380328528,8.17221149964431,0.09985814421890525,8.272069643863215,4.146744983296098e-20,41.46744983296097
549.0,1.346,2.0,1.1864,5.5610565436176845e-09,0.1798219442936038,2.2133384854684447e-05,2.739417830682624,4.645932933904763,2.7037992349734914,10.089149999560878,0.12308500467855149,10.21223500423943,5.679081629528725e-20,56.79081629528726
549.0,1.346,1.8,1.1864,5.012947378135816e-09,0.19948344248765562,1.9920046369216005e-05,2.2189284428529255,3.763205676462857,2.190077380328528,8.17221149964431,0.09985814421890525,8.272069643863215,4.146744983296098e-20,41.46744983296097
937.0,5.02,2.5,1.1864,4.094264940153668e-09,0.24424408645193035,0.00010318498511377778,4.280340360441602,7.259270209226191,4.224686304646081,15.764296874313873,0.42246666690161855,16.18676354121549,6.627289846135622e-20,66.27289846135622
1100.0,7.924,2.8,1.1864,3.909753112338676e-09,0.25577062573187276,0.0001824211873877618,5.369258948137944,9.106028550453333,5.299446500548042,19.77473399913932,0.7132218051458185,20.487955804285136,8.010284897126105e-20,80.10284897126105
